Iterations: 1000
test: short_throughput_0
timing: 37079
test: medium_throughput_0
timing: 76172
test: medium_throughput_1
timing: 76769
test: medium_throughput_2
timing: 84062
test: medium_throughput_3
timing: 95539
test: medium_throughput_4
timing: 121822
test: medium_throughput_5
timing: 173956
test: medium_throughput_6
timing: 287407
test: medium_throughput_7
timing: 543565
test: medium_throughput_8
timing: 1055965
test: medium_throughput_9
timing: 2080771
test: medium-fifo_throughput_0
timing: 40079
test: medium-fifo_throughput_1
timing: 42097
test: medium-fifo_throughput_2
timing: 46097
test: medium-fifo_throughput_3
timing: 54097
test: medium-fifo_throughput_4
timing: 70097
test: medium-fifo_throughput_5
timing: 102115
test: medium-fifo_throughput_6
timing: 166151
test: medium-fifo_throughput_7
timing: 294223
test: medium-fifo_throughput_8
timing: 550349
test: medium-fifo_throughput_9
timing: 1062601
test: long_throughput_0
timing: 76158
test: long_throughput_1
timing: 76250
test: long_throughput_2
timing: 84027
test: long_throughput_3
timing: 95257
test: long_throughput_4
timing: 121787
test: long_throughput_5
timing: 173980
test: long_throughput_6
timing: 293390
test: long_throughput_7
timing: 549578
test: long_throughput_8
timing: 1061978
test: long_throughput_9
timing: 2086748
test: long-fifo_throughput_0
timing: 43169
test: long-fifo_throughput_1
timing: 45187
test: long-fifo_throughput_2
timing: 53183
test: long-fifo_throughput_3
timing: 69193
test: long-fifo_throughput_4
timing: 101241
test: long-fifo_throughput_5
timing: 165310
test: long-fifo_throughput_6
timing: 293467
test: long-fifo_throughput_7
timing: 549797
test: long-fifo_throughput_8
timing: 1062443
test: long-fifo_throughput_9
timing: 2087708
test: strided_throughput_0
timing: 87110
test: vector_throughput_0
timing: 87070
test: vector_throughput_1
timing: 87018
test: vector_throughput_2
timing: 81352

Node finished
