Iterations: 1000
test: short_throughput_0
timing: 3194882
timing: 8788018
test: medium_throughput_0
timing: 7021702
timing: 12238726
test: medium_throughput_1
timing: 6275602
timing: 14230840
test: medium_throughput_2
timing: 6399010
timing: 13246654
test: medium_throughput_3
timing: 7127290
timing: 13873576
test: medium_throughput_4
timing: 6583416
timing: 14522566
test: medium_throughput_5
timing: 6653351
timing: 15330190
test: medium_throughput_6
timing: 6744529
timing: 17696164
test: medium_throughput_7
timing: 8132311
timing: 25819636
test: medium_throughput_8
timing: 10834587
timing: 26221990
test: medium_throughput_9
timing: 7328810
timing: 25313458
test: medium-fifo_throughput_0
timing: 6574016
timing: 11965708
test: medium-fifo_throughput_1
timing: 6477718
timing: 12612522
test: medium-fifo_throughput_2
timing: 6623000
timing: 12501178
test: medium-fifo_throughput_3
timing: 6504118
timing: 12537654
test: medium-fifo_throughput_4
timing: 6483070
timing: 13410922
test: medium-fifo_throughput_5
timing: 6836491
timing: 14739462
test: medium-fifo_throughput_6
timing: 6438325
timing: 18655444
test: medium-fifo_throughput_7
timing: 6791770
timing: 19579872
test: medium-fifo_throughput_8
timing: 7194831
timing: 25487962
test: medium-fifo_throughput_9
timing: 7632011
timing: 25427238
test: long_throughput_0
timing: 3384758
timing: 8413564
test: long_throughput_1
timing: 3031670
timing: 7937680
test: long_throughput_2
timing: 2696096
timing: 7707730
test: long_throughput_3
timing: 2765540
timing: 8292748
test: long_throughput_4
timing: 2734079
timing: 9113008
test: long_throughput_5
timing: 2755428
timing: 10342948
test: long_throughput_6
timing: 2741816
timing: 7754098
test: long_throughput_7
timing: 3780793
timing: 8580748
test: long_throughput_8
timing: 3995338
timing: 12732934
test: long_throughput_9
timing: 3465202
timing: 12795034
test: long-fifo_throughput_0
timing: 2899192
timing: 7324680
test: long-fifo_throughput_1
timing: 2933178
timing: 7787516
test: long-fifo_throughput_2
timing: 2957842
timing: 7570134
test: long-fifo_throughput_3
timing: 2946582
timing: 8233208
test: long-fifo_throughput_4
timing: 2957840
timing: 9046914
test: long-fifo_throughput_5
timing: 4524572
timing: 11030204
test: long-fifo_throughput_6
timing: 3309854
timing: 7507362
test: long-fifo_throughput_7
timing: 3026861
timing: 9112622
test: long-fifo_throughput_8
timing: 4579895
timing: 12845430
test: long-fifo_throughput_9
timing: 4416348
timing: 13031864
test: strided_throughput_0
timing: 3520573
timing: 8640256
test: vector_throughput_0
timing: 3003560
timing: 8191102
test: vector_throughput_1
timing: 3333987
timing: 8459230
test: vector_throughput_2
timing: 3116958
timing: 8695732
Memory in node 2 at end: 0, 0, 0, 24, 0, 0, 0, 56, 64, 72, 


Node finished
