Memory in node 1: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
test: short_latency_0
timing: 31450
timing: 27237
timing: 17577
timing: 17988
timing: 14387
timing: 16206
timing: 14910
timing: 15308
timing: 14648
timing: 14135
timing: 15786
timing: 15622
timing: 14803
timing: 15361
timing: 13677
timing: 16128
timing: 12878
timing: 15619
timing: 15198
timing: 13695
timing: 14709
timing: 15335
timing: 15038
timing: 14060
timing: 14945
timing: 12893
timing: 14954
timing: 14244
timing: 14044
timing: 15059
timing: 14113
timing: 15173
timing: 15563
timing: 14570
timing: 14101
timing: 15526
timing: 14609
timing: 14637
timing: 15622
timing: 15214
timing: 14230
timing: 14816
timing: 14342
timing: 15083
timing: 14766
timing: 14510
timing: 14390
timing: 15229
timing: 14137
timing: 15270
timing: 15423
timing: 15124
timing: 15072
timing: 15073
timing: 13598
timing: 14459
timing: 14218
timing: 15126
timing: 14858
timing: 14715
timing: 12948
timing: 14886
timing: 14622
timing: 14489
timing: 13344
timing: 14107
timing: 14858
timing: 15535
timing: 14741
timing: 14100
timing: 15022
timing: 15553
timing: 14314
timing: 14506
timing: 13089
timing: 14848
timing: 14961
timing: 14685
timing: 14380
timing: 14804
timing: 13655
timing: 13622
timing: 13962
timing: 14403
timing: 14913
timing: 14409
timing: 14336
timing: 15345
timing: 14054
timing: 16343
timing: 14664
timing: 14561
timing: 13480
timing: 14807
timing: 17152
timing: 14424
timing: 15848
timing: 16224
timing: 15003
timing: 17842
timing: 16164
timing: 14239
timing: 16505
timing: 17137
timing: 16064
timing: 16841
timing: 16299
timing: 17011
timing: 15235
timing: 14722
timing: 16412
timing: 15951
timing: 14153
timing: 16508
timing: 16130
timing: 13827
timing: 15550
timing: 16065
timing: 15816
timing: 16633
timing: 15975
timing: 16317
timing: 17116
timing: 15542
timing: 16132
timing: 17013
timing: 14188
timing: 16765
timing: 16244
timing: 12840
timing: 13852
timing: 14721
timing: 13831
timing: 13967
timing: 13865
timing: 13795
timing: 15162
timing: 14390
timing: 13785
timing: 12376
timing: 14771
timing: 16171
timing: 14873
timing: 14277
timing: 13841
timing: 13141
timing: 14553
timing: 12512
timing: 12766
timing: 12664
timing: 15820
timing: 13423
timing: 13796
timing: 11991
timing: 14299
timing: 14714
timing: 12804
timing: 13548
timing: 12326
timing: 14544
timing: 14387
timing: 13791
timing: 14039
timing: 15464
timing: 14834
timing: 14918
timing: 14499
timing: 14886
timing: 14337
timing: 14560
timing: 14103
timing: 14494
timing: 14602
timing: 14769
timing: 14245
timing: 14102
timing: 12406
timing: 14360
timing: 15175
timing: 13379
timing: 15156
timing: 14227
timing: 14324
timing: 14760
timing: 13545
timing: 14381
timing: 14466
timing: 15712
timing: 13930
timing: 14156
timing: 14398
timing: 13438
timing: 15768
timing: 14690
timing: 14161
timing: 16289
timing: 12431
timing: 13181
timing: 14057
timing: 12479
timing: 14149
timing: 13144
timing: 14577
timing: 14433
timing: 12823
timing: 12531
timing: 15256
timing: 14575
timing: 14231
timing: 13531
timing: 13949
timing: 14551
timing: 13847
timing: 15264
timing: 12418
timing: 14708
timing: 12369
timing: 12624
timing: 13941
timing: 14354
timing: 13680
timing: 13974
timing: 13445
timing: 13909
timing: 14087
timing: 15366
timing: 14854
timing: 14015
timing: 14498
timing: 14423
timing: 13623
timing: 13667
timing: 14673
timing: 14285
timing: 15037
timing: 14133
timing: 12546
timing: 14644
timing: 14030
timing: 13018
timing: 14324
timing: 14258
timing: 14174
timing: 14862
timing: 14053
timing: 14921
timing: 20530
timing: 15518
timing: 17060
timing: 15427
timing: 16382
timing: 15177
timing: 16865
timing: 16986
timing: 16959
timing: 14714
timing: 15142
timing: 17985
timing: 18942
timing: 17327
timing: 16022
timing: 16407
timing: 19065
timing: 16607
timing: 16128
timing: 14692
timing: 16316
timing: 16725
timing: 15009
timing: 16312
timing: 16800
timing: 15772
timing: 16390
timing: 14686
timing: 16312
timing: 16183
timing: 17285
timing: 17287
timing: 16648
timing: 16178
timing: 16315
timing: 17517
timing: 16172
timing: 16387
timing: 16538
timing: 16772
timing: 16558
timing: 16244
timing: 16162
timing: 14879
timing: 17654
timing: 17492
timing: 17103
timing: 21176
timing: 18541
timing: 19347
timing: 18635
timing: 16102
timing: 17784
timing: 20822
timing: 17852
timing: 17138
timing: 16788
timing: 17762
timing: 18243
timing: 17143
timing: 15850
timing: 16656
timing: 17394
timing: 18159
timing: 17592
timing: 17815
timing: 17240
timing: 18103
timing: 20365
timing: 17593
timing: 17193
timing: 17592
timing: 16730
timing: 17737
timing: 18172
timing: 16588
timing: 17828
timing: 18195
timing: 17265
timing: 17096
timing: 18540
timing: 17648
timing: 18628
timing: 18250
timing: 17933
timing: 20135
timing: 18113
timing: 17553
timing: 16917
timing: 18137
timing: 17221
timing: 17723
timing: 16802
timing: 18304
timing: 15520
timing: 17866
timing: 17866
timing: 17727
timing: 17407
timing: 17734
timing: 19109
timing: 19261
timing: 16911
timing: 17839
timing: 17074
timing: 17607
timing: 17242
timing: 17197
timing: 17164
timing: 18110
timing: 17214
timing: 16205
timing: 17205
timing: 17358
timing: 18167
timing: 15462
timing: 16720
timing: 17575
timing: 16840
timing: 16335
timing: 17335
timing: 18072
timing: 18757
timing: 19224
timing: 17343
timing: 16281
timing: 17465
timing: 17508
timing: 18890
timing: 16722
timing: 17567
timing: 18327
timing: 17497
timing: 18686
timing: 17210
timing: 17800
timing: 17477
timing: 17751
timing: 16933
timing: 17919
timing: 16940
timing: 17445
timing: 17822
timing: 17412
timing: 15910
timing: 17024
timing: 15704
timing: 17577
timing: 17101
timing: 17826
timing: 17193
timing: 18693
timing: 16968
timing: 18390
timing: 17588
timing: 17138
timing: 17836
timing: 17955
timing: 17949
timing: 17243
timing: 15441
timing: 17587
timing: 17134
timing: 17246
timing: 17175
timing: 16161
timing: 17107
timing: 19587
timing: 16026
timing: 16875
timing: 16387
timing: 16725
timing: 17002
timing: 16826
timing: 16223
timing: 17289
timing: 17047
timing: 16697
timing: 15808
timing: 16273
timing: 16554
timing: 16242
timing: 16937
timing: 15623
timing: 17124
timing: 16646
timing: 16827
timing: 15663
timing: 16857
timing: 18728
timing: 17372
timing: 15218
timing: 15071
timing: 15996
timing: 16694
timing: 17337
timing: 16141
timing: 17823
timing: 17632
timing: 15330
timing: 16464
timing: 16538
timing: 16617
timing: 18382
timing: 16844
timing: 17222
timing: 15347
timing: 17153
timing: 16762
timing: 16692
timing: 14970
timing: 15139
timing: 17532
timing: 16399
timing: 16463
timing: 16930
timing: 16598
timing: 17322
timing: 15411
timing: 16464
timing: 16959
timing: 18030
timing: 17810
timing: 15178
timing: 16720
timing: 16012
timing: 16822
timing: 16757
timing: 15554
timing: 16720
timing: 16861
timing: 18370
timing: 16875
timing: 15759
timing: 16385
timing: 16602
timing: 15990
timing: 15777
timing: 18579
timing: 16222
timing: 17226
timing: 17058
timing: 15824
timing: 16814
timing: 16292
timing: 18298
timing: 16751
timing: 14949
timing: 16393
timing: 17715
timing: 17263
timing: 15851
timing: 15961
timing: 16268
timing: 17695
timing: 16355
timing: 14967
timing: 16454
timing: 16606
timing: 16719
timing: 16964
timing: 15311
timing: 16340
timing: 17153
timing: 14783
timing: 15029
timing: 15280
timing: 17449
timing: 18136
timing: 16370
timing: 16439
timing: 16975
timing: 17362
timing: 17598
timing: 18097
timing: 16819
timing: 15272
timing: 15209
timing: 16614
timing: 14914
timing: 15721
timing: 15877
timing: 16219
timing: 15068
timing: 15806
timing: 16787
timing: 15778
timing: 15539
timing: 14373
timing: 15814
timing: 15735
timing: 17295
timing: 14531
timing: 15017
timing: 15809
timing: 17510
timing: 16515
timing: 14588
timing: 16089
timing: 16302
timing: 16444
timing: 15519
timing: 15831
timing: 16415
timing: 15708
timing: 16926
timing: 17165
timing: 15752
timing: 16322
timing: 16286
timing: 16466
timing: 15281
timing: 17935
timing: 15894
timing: 15710
timing: 16992
timing: 15624
timing: 16404
timing: 15761
timing: 16220
timing: 16133
timing: 15600
timing: 16394
timing: 16297
timing: 16474
timing: 15833
timing: 15592
timing: 15885
timing: 15192
timing: 17410
timing: 14213
timing: 15385
timing: 16032
timing: 16536
timing: 14457
timing: 16676
timing: 16585
timing: 15576
timing: 17323
timing: 14327
timing: 13937
timing: 16605
timing: 16685
timing: 15623
timing: 15133
timing: 14746
timing: 16791
timing: 16510
timing: 16147
timing: 14726
timing: 15560
timing: 15862
timing: 17095
timing: 15506
timing: 16843
timing: 16007
timing: 16268
timing: 16312
timing: 14339
timing: 15810
timing: 17834
timing: 16135
timing: 16177
timing: 14278
timing: 15627
timing: 16569
timing: 14695
timing: 14979
timing: 15595
timing: 16349
timing: 15693
timing: 16706
timing: 15402
timing: 16331
timing: 15852
timing: 17452
timing: 14930
timing: 15554
timing: 16410
timing: 15761
timing: 15239
timing: 17637
timing: 15429
timing: 15895
timing: 15513
timing: 17360
timing: 14921
timing: 15923
timing: 15454
timing: 17078
timing: 16382
timing: 16137
timing: 13547
timing: 15670
timing: 14874
timing: 13872
timing: 15354
timing: 13882
timing: 14673
timing: 16287
timing: 13875
timing: 15536
timing: 15303
timing: 16542
timing: 15621
timing: 15481
timing: 15205
timing: 15107
timing: 16520
timing: 15151
timing: 14053
timing: 15414
timing: 15675
timing: 16137
timing: 16377
timing: 15730
timing: 15442
timing: 15364
timing: 15747
timing: 15667
timing: 15795
timing: 15329
timing: 15890
timing: 13724
timing: 15077
timing: 15429
timing: 15164
timing: 15999
timing: 13990
timing: 17652
timing: 15624
timing: 14313
timing: 16025
timing: 15367
timing: 15979
timing: 15215
timing: 16361
timing: 14469
timing: 15512
timing: 14561
timing: 13682
