Memory in node 1: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
test: medium_latency_0
timing: 13732306
timing: 9998885
timing: 13124503
timing: 9374294
timing: 11871667
timing: 11874653
timing: 11249199
timing: 12499401
timing: 9374223
timing: 13749679
timing: 11874609
timing: 9374376
timing: 12496998
timing: 11874162
timing: 11874247
timing: 11249849
timing: 11248967
timing: 13749680
timing: 11874166
timing: 13121975
timing: 14374393
timing: 13749321
timing: 13749369
timing: 10624629
timing: 13124487
timing: 10624115
timing: 11874853
timing: 10621373
timing: 12498557
timing: 13749652
timing: 19374005
timing: 13749465
timing: 11249347
timing: 12496827
timing: 11874469
timing: 11874694
timing: 12498945
timing: 9996926
timing: 14374508
timing: 13121880
timing: 11250912
timing: 11248049
timing: 13121823
timing: 10624179
timing: 10624351
timing: 14999599
timing: 9999127
timing: 14374843
timing: 13442158
timing: 11556294
timing: 14999468
timing: 14999237
timing: 15624440
timing: 10624322
timing: 11874730
timing: 13749343
timing: 10624112
timing: 10624636
timing: 12499517
timing: 9999585
timing: 16249299
timing: 13749123
timing: 14374497
timing: 9999479
timing: 13124861
timing: 13749522
timing: 8748852
timing: 14374561
timing: 12496923
timing: 11249473
timing: 11249426
timing: 7499526
timing: 9999053
timing: 11249587
timing: 11874284
timing: 10621482
timing: 11249435
timing: 13124723
timing: 13749300
timing: 11874614
timing: 13749227
timing: 9374576
timing: 13121799
timing: 13121961
timing: 11871826
timing: 14999326
timing: 13124623
timing: 10624394
timing: 9998948
timing: 9999339
timing: 14374486
timing: 11874534
timing: 9999503
timing: 11872109
timing: 13129807
timing: 13121963
timing: 13746059
timing: 9999564
timing: 14374546
timing: 12499378
timing: 8124678
timing: 9996407
timing: 11249407
timing: 13124209
timing: 11249131
timing: 14999927
timing: 9374206
timing: 14374390
timing: 11248859
timing: 9374460
timing: 11874681
timing: 9374208
timing: 10624480
timing: 8124792
timing: 13124096
timing: 9999233
timing: 11249624
timing: 13750022
timing: 17126838
timing: 8496244
timing: 12499579
timing: 13749125
timing: 11249526
timing: 9999530
timing: 13124315
timing: 11249436
timing: 11249526
timing: 11246803
timing: 14374068
timing: 9999457
timing: 9999453
timing: 12499303
timing: 9374416
timing: 13124727
timing: 10624086
timing: 11874061
timing: 13124699
timing: 13124239
timing: 11249288
timing: 12499563
timing: 11874342
timing: 13124520
timing: 9999417
timing: 11249457
timing: 11249537
timing: 13749109
timing: 11874624
timing: 9999354
timing: 8746931
timing: 9374354
timing: 10624253
timing: 13124449
timing: 11249449
timing: 12500399
timing: 13748599
timing: 11249402
timing: 13747383
timing: 13123793
timing: 10005262
timing: 13743879
timing: 8747335
timing: 13124064
timing: 9372134
timing: 9371271
timing: 14999682
timing: 11249395
timing: 13124492
timing: 13749266
timing: 9999261
timing: 11874479
timing: 13124700
timing: 6874070
timing: 11249248
timing: 12499622
timing: 13124497
timing: 10624422
timing: 9371904
timing: 11246803
timing: 11874459
timing: 12497031
timing: 12499639
timing: 11246735
timing: 10624647
timing: 9996843
timing: 11874623
timing: 9996746
timing: 11249166
timing: 10624602
timing: 9996644
timing: 13124451
timing: 10624371
timing: 9999665
timing: 11248994
timing: 11874290
timing: 15624369
timing: 11249700
timing: 12497119
timing: 13748982
timing: 13124545
timing: 9999445
timing: 8121885
timing: 14374550
timing: 10624641
timing: 9697950
timing: 11550604
timing: 12499300
timing: 9374450
timing: 13749515
timing: 11249440
timing: 13124382
timing: 13749136
timing: 8749711
timing: 12499415
timing: 8124337
timing: 9999530
timing: 11874699
timing: 14374258
timing: 10624109
timing: 11874348
timing: 11874866
timing: 11874115
timing: 10624837
timing: 11249074
timing: 11249499
timing: 8749389
timing: 13746663
timing: 11874442
timing: 13124467
timing: 11874270
timing: 13124607
timing: 14996657
timing: 13124992
timing: 15623821
timing: 14374314
timing: 8746842
timing: 9372390
timing: 11874318
timing: 12499151
timing: 13124534
timing: 10624795
timing: 13749077
timing: 13123706
timing: 13749694
timing: 11249370
timing: 10624120
timing: 13124561
timing: 9374433
timing: 11874314
timing: 14999285
timing: 11249495
timing: 9374215
timing: 9999731
timing: 11249232
timing: 11877405
timing: 9996563
timing: 14999256
timing: 13749207
timing: 13124416
timing: 13749733
timing: 8749353
timing: 11874369
timing: 12499453
timing: 10624656
timing: 13124056
timing: 14374170
timing: 13124546
timing: 12499538
timing: 13123934
timing: 9374368
timing: 14999453
timing: 11249791
timing: 13124239
timing: 13124686
timing: 13123745
timing: 11874486
timing: 7499505
timing: 13749784
timing: 8748790
timing: 14374730
timing: 11874651
timing: 8748930
timing: 9374648
timing: 9999172
timing: 13124278
timing: 13124488
timing: 10624395
timing: 13124546
timing: 11250692
timing: 11248070
timing: 11246858
timing: 14996775
timing: 13124464
timing: 10625181
timing: 10621162
timing: 12499465
timing: 10624081
timing: 15624489
timing: 15624702
timing: 11874233
timing: 10624382
timing: 9999425
timing: 10624283
timing: 8749686
timing: 9999871
timing: 10623615
timing: 11874424
timing: 8749787
timing: 11246594
timing: 11246882
timing: 11874437
timing: 15624585
timing: 11249054
timing: 10624865
timing: 9999800
timing: 11873674
timing: 15621837
timing: 16874502
timing: 10624358
timing: 12499259
timing: 14999518
timing: 11874272
timing: 10624303
timing: 17499456
timing: 8749158
timing: 13124535
timing: 11874877
timing: 13123784
timing: 14374301
timing: 9371810
timing: 11249593
timing: 12499342
timing: 14374801
timing: 13749060
timing: 13749214
timing: 9996897
timing: 11874299
timing: 9999458
timing: 9375079
timing: 9374202
timing: 11248951
timing: 13749379
timing: 9999499
timing: 13124298
timing: 12499377
timing: 11249367
timing: 12499551
timing: 11874216
timing: 11249419
timing: 10624449
timing: 18749424
timing: 11874421
timing: 9374635
timing: 13746803
timing: 13752694
timing: 10623367
timing: 8120882
timing: 11874328
timing: 13123622
timing: 12496033
timing: 13123760
timing: 8126476
timing: 13749361
timing: 11870931
timing: 11874445
timing: 8750719
timing: 8120730
timing: 9996314
timing: 9374675
timing: 12502021
timing: 14996170
timing: 13124587
timing: 14373655
timing: 11874076
timing: 11247236
timing: 9371884
timing: 13124120
timing: 9996833
timing: 12499369
timing: 14374380
timing: 8749404
timing: 9997096
timing: 12499388
timing: 13121851
timing: 10624075
timing: 7499462
timing: 15622109
timing: 11248676
timing: 9374514
timing: 13746820
timing: 14374488
timing: 11874474
timing: 10624637
timing: 9371765
timing: 11874318
timing: 13124248
timing: 12499823
timing: 10621990
timing: 14998679
timing: 11249352
timing: 12496490
timing: 14371801
timing: 9998950
timing: 11876400
timing: 15304120
timing: 9066819
timing: 8746910
timing: 9996587
timing: 10623907
timing: 11249337
timing: 11249492
timing: 9374097
timing: 14374555
timing: 14374898
timing: 11873720
timing: 9374430
timing: 11249876
timing: 14374082
timing: 9374405
timing: 11249501
timing: 13124173
timing: 11246836
timing: 11247180
timing: 9997148
timing: 13748774
timing: 9374416
timing: 13124436
timing: 14374424
timing: 14374480
timing: 10621508
timing: 12499650
timing: 11877517
timing: 9373816
timing: 12495701
timing: 11249097
timing: 13123940
timing: 9371011
timing: 13745903
timing: 9996576
timing: 10624008
timing: 11871176
timing: 11249685
timing: 13120590
timing: 9373582
timing: 13752266
timing: 9992412
timing: 13124567
timing: 11246505
timing: 9999565
timing: 9374307
