Memory in node 1: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
test: short_latency_0
timing: 45333
timing: 28237
timing: 19084
timing: 19701
timing: 20380
timing: 18656
timing: 18866
timing: 18997
timing: 18552
timing: 19366
timing: 18490
timing: 18286
timing: 18815
timing: 19122
timing: 19489
timing: 18669
timing: 18450
timing: 18756
timing: 19667
timing: 19324
timing: 18183
timing: 19417
timing: 19085
timing: 19445
timing: 18928
timing: 19124
timing: 18800
timing: 18596
timing: 18959
timing: 18583
timing: 18032
timing: 18792
timing: 19338
timing: 19412
timing: 17997
timing: 18892
timing: 18518
timing: 19669
timing: 18518
timing: 18565
timing: 18848
timing: 19215
timing: 19160
timing: 19207
timing: 18833
timing: 18609
timing: 19796
timing: 18849
timing: 18234
timing: 18826
timing: 18908
timing: 19034
timing: 19087
timing: 19146
timing: 18949
timing: 19349
timing: 19771
timing: 18667
timing: 18717
timing: 18554
timing: 19251
timing: 18536
timing: 17957
timing: 19307
timing: 18436
timing: 18660
timing: 18501
timing: 19923
timing: 19052
timing: 18586
timing: 18942
timing: 18487
timing: 18964
timing: 17992
timing: 19311
timing: 20515
timing: 19636
timing: 18965
timing: 18620
timing: 19162
timing: 18145
timing: 18696
timing: 18071
timing: 18246
timing: 19831
timing: 19631
timing: 18526
timing: 18029
timing: 22350
timing: 18976
timing: 18417
timing: 18159
timing: 18858
timing: 18855
timing: 18732
timing: 18808
timing: 18601
timing: 18542
timing: 19263
timing: 18248
timing: 18705
timing: 18526
timing: 19110
timing: 18723
timing: 18434
timing: 18530
timing: 18554
timing: 19562
timing: 18392
timing: 18325
timing: 19121
timing: 18080
timing: 19427
timing: 18393
timing: 20799
timing: 19817
timing: 18863
timing: 18172
timing: 18155
timing: 18146
timing: 18265
timing: 18997
timing: 18294
timing: 18537
timing: 18088
timing: 18074
timing: 19793
timing: 17910
timing: 18025
timing: 18109
timing: 18718
timing: 18424
timing: 18157
timing: 18505
timing: 18431
timing: 18539
timing: 17902
timing: 18383
timing: 18394
timing: 18560
timing: 18390
timing: 18431
timing: 18671
timing: 18211
timing: 18989
timing: 18413
timing: 18353
timing: 17882
timing: 18403
timing: 18574
timing: 18428
timing: 18171
timing: 17918
timing: 17663
timing: 18690
timing: 18400
timing: 18291
timing: 18717
timing: 19008
timing: 17649
timing: 18146
timing: 18283
timing: 18253
timing: 18858
timing: 18708
timing: 18473
timing: 18168
timing: 18006
timing: 19278
timing: 18415
timing: 18839
timing: 18199
timing: 19570
timing: 18337
timing: 18492
timing: 17970
timing: 18330
timing: 19188
timing: 18635
timing: 18608
timing: 18419
timing: 17603
timing: 19208
timing: 17908
timing: 18319
timing: 18156
timing: 17930
timing: 18592
timing: 18233
timing: 18164
timing: 18147
timing: 19364
timing: 18238
timing: 18310
timing: 18422
timing: 18141
timing: 19407
timing: 18648
timing: 18389
timing: 18467
timing: 18985
timing: 19796
timing: 19424
timing: 18662
timing: 19636
timing: 19020
timing: 18082
timing: 18029
timing: 18027
timing: 18043
timing: 19465
timing: 17904
timing: 17374
timing: 17981
timing: 18338
timing: 17223
timing: 18879
timing: 18784
timing: 18783
timing: 18675
timing: 18520
timing: 18065
timing: 17737
timing: 17465
timing: 18606
timing: 17409
timing: 19008
timing: 17594
timing: 18012
timing: 17586
timing: 18147
timing: 17697
timing: 18131
timing: 20212
timing: 18716
timing: 17965
timing: 18061
timing: 18099
timing: 19085
timing: 17940
timing: 17767
timing: 18413
timing: 18215
timing: 17238
timing: 18758
timing: 17619
timing: 18367
timing: 19646
timing: 17898
timing: 17861
timing: 17492
timing: 17770
timing: 18910
timing: 17167
timing: 17833
timing: 18351
timing: 18667
timing: 18005
timing: 17231
timing: 18059
timing: 17237
timing: 18055
timing: 18010
timing: 18008
timing: 17827
timing: 18399
timing: 17909
timing: 17833
timing: 17391
timing: 18044
timing: 17908
timing: 18276
timing: 17823
timing: 18424
timing: 18179
timing: 18909
timing: 17982
timing: 18412
timing: 17647
timing: 17981
timing: 19368
timing: 17767
timing: 17467
timing: 17906
timing: 18759
timing: 18272
timing: 17999
timing: 17957
timing: 17413
timing: 18575
timing: 18051
timing: 17699
timing: 18173
timing: 18048
timing: 19032
timing: 18245
timing: 19202
timing: 18549
timing: 19104
timing: 18132
timing: 18904
timing: 18134
timing: 17931
timing: 19161
